date,segment,state,loan_count,loan_value_million
2005-12-01,Owner-occupier,NT,1483,319.3
2005-12-01,Owner-occupier,QLD,20978,5332.4
2005-12-01,Owner-occupier,SA,8648,1646.5
2005-12-01,Owner-occupier,TAS,2169,379.9
2005-12-01,Owner-occupier,VIC,21673,5390.2
2005-12-01,Owner-occupier,WA,14614,3291.4
2006-03-01,Owner-occupier,ACT,1422,385.3
2006-03-01,Owner-occupier,NSW,24711,7553.0
2006-03-01,Owner-occupier,NT,1475,325.9
2006-03-01,Owner-occupier,QLD,21773,5579.5
2006-03-01,Owner-occupier,SA,8917,1751.4
2006-03-01,Owner-occupier,TAS,2371,443.1
2006-03-01,Owner-occupier,VIC,21491,5490.5
2006-03-01,Owner-occupier,WA,15638,3658.5
2006-06-01,Owner-occupier,ACT,1400,383.0
2006-06-01,Owner-occupier,NSW,25930,7798.9
2006-06-01,Owner-occupier,NT,1421,317.7
2006-06-01,Owner-occupier,QLD,22685,5799.0
2006-06-01,Owner-occupier,SA,9281,1856.9
2006-06-01,Owner-occupier,TAS,2288,414.8
2006-06-01,Owner-occupier,VIC,21870,5518.8
2006-06-01,Owner-occupier,WA,15282,3758.9
2006-09-01,Owner-occupier,ACT,1609,451.7
2006-09-01,Owner-occupier,NSW,25255,7531.6
2006-09-01,Owner-occupier,NT,1217,284.8
2006-09-01,Owner-occupier,QLD,23303,6077.8
2006-09-01,Owner-occupier,SA,9461,1887.1
2006-09-01,Owner-occupier,TAS,2485,459.6
2006-09-01,Owner-occupier,VIC,22181,5642.4
2006-09-01,Owner-occupier,WA,14135,3681.2
2006-12-01,Owner-occupier,ACT,1700,486.7
2006-12-01,Owner-occupier,NSW,24688,7301.9
2006-12-01,Owner-occupier,NT,1043,245.0
2006-12-01,Owner-occupier,QLD,22975,6108.7
2006-12-01,Owner-occupier,SA,8488,1811.4
2006-12-01,Owner-occupier,TAS,2316,429.4
2006-12-01,Owner-occupier,VIC,21634,5660.0
2006-12-01,Owner-occupier,WA,12325,3341.5
2007-03-01,Owner-occupier,ACT,1764,510.8
2007-03-01,Owner-occupier,NSW,25743,7942.6
2007-03-01,Owner-occupier,NT,1008,260.9
2007-03-01,Owner-occupier,QLD,24506,6659.0
2007-03-01,Owner-occupier,SA,9035,1923.6
2007-03-01,Owner-occupier,TAS,2285,431.0
2007-03-01,Owner-occupier,VIC,22596,5970.5
2007-03-01,Owner-occupier,WA,11985,3390.8
2007-06-01,Owner-occupier,ACT,1882,573.1
2007-06-01,Owner-occupier,NSW,26727,8493.5
2007-06-01,Owner-occupier,NT,988,249.1
2007-06-01,Owner-occupier,QLD,25960,7353.8
2007-06-01,Owner-occupier,SA,8984,2018.3
2007-06-01,Owner-occupier,TAS,2554,510.1
2007-06-01,Owner-occupier,VIC,23752,6556.0
2007-06-01,Owner-occupier,WA,12873,3801.6
2007-09-01,Owner-occupier,ACT,1830,559.5
2007-09-01,Owner-occupier,NSW,26036,8435.0
2007-09-01,Owner-occupier,NT,1007,254.0
2007-09-01,Owner-occupier,QLD,25494,7413.4
2007-09-01,Owner-occupier,SA,8781,2035.8
2007-09-01,Owner-occupier,TAS,2603,498.9
2007-09-01,Owner-occupier,VIC,23214,6521.2
2007-09-01,Owner-occupier,WA,12774,3819.8
2007-12-01,Owner-occupier,ACT,1765,539.3
2007-12-01,Owner-occupier,NSW,26102,8511.5
2007-12-01,Owner-occupier,NT,996,267.8
2007-12-01,Owner-occupier,QLD,24649,7129.9
2007-12-01,Owner-occupier,SA,8701,2080.5
2007-12-01,Owner-occupier,TAS,2619,514.0
2007-12-01,Owner-occupier,VIC,23672,6630.1
2007-12-01,Owner-occupier,WA,12211,3617.1
2008-03-01,Owner-occupier,ACT,1621,508.8
2008-03-01,Owner-occupier,NSW,23983,7776.1
2008-03-01,Owner-occupier,NT,832,207.5
2008-03-01,Owner-occupier,QLD,21355,6217.1
2008-03-01,Owner-occupier,SA,7823,1835.5
2008-03-01,Owner-occupier,TAS,2489,492.5
2008-03-01,Owner-occupier,VIC,22542,6293.2
2008-03-01,Owner-occupier,WA,11307,3387.6
2008-06-01,Owner-occupier,ACT,1535,483.7
2008-06-01,Owner-occupier,NSW,20604,6821.1
2008-06-01,Owner-occupier,NT,857,239.3
2008-06-01,Owner-occupier,QLD,17499,5195.9
2008-06-01,Owner-occupier,SA,6870,1669.7
2008-06-01,Owner-occupier,TAS,2097,414.4
2008-06-01,Owner-occupier,VIC,19507,5634.4
2008-06-01,Owner-occupier,WA,9307,2825.8
2008-09-01,Owner-occupier,ACT,1517,487.0
2008-09-01,Owner-occupier,NSW,19410,6593.4
2008-09-01,Owner-occupier,NT,735,231.9
2008-09-01,Owner-occupier,QLD,15785,4888.3
2008-09-01,Owner-occupier,SA,6517,1650.9
2008-09-01,Owner-occupier,TAS,1821,382.1
2008-09-01,Owner-occupier,VIC,18303,5373.6
2008-09-01,Owner-occupier,WA,9163,2827.6
2008-12-01,Owner-occupier,ACT,1638,553.4
2008-12-01,Owner-occupier,NSW,20125,6845.3
2008-12-01,Owner-occupier,NT,905,295.7
2008-12-01,Owner-occupier,QLD,17283,5408.6
2008-12-01,Owner-occupier,SA,6807,1798.4
2008-12-01,Owner-occupier,TAS,2196,466.7
2008-12-01,Owner-occupier,VIC,18915,5755.1
2008-12-01,Owner-occupier,WA,9350,3000.4
2009-03-01,Owner-occupier,ACT,1975,669.0
2009-03-01,Owner-occupier,NSW,26959,9319.1
2009-03-01,Owner-occupier,NT,986,330.8
2009-03-01,Owner-occupier,QLD,21026,6728.7
2009-03-01,Owner-occupier,SA,8392,2154.5
2009-03-01,Owner-occupier,TAS,2586,569.1
2009-03-01,Owner-occupier,VIC,22540,6741.3
2009-03-01,Owner-occupier,WA,10627,3542.9
2009-06-01,Owner-occupier,ACT,2075,718.5
2009-06-01,Owner-occupier,NSW,28183,9745.6
2009-06-01,Owner-occupier,NT,1022,343.8
2009-06-01,Owner-occupier,QLD,22996,7368.3
2009-06-01,Owner-occupier,SA,8710,2221.1
2009-06-01,Owner-occupier,TAS,2573,565.4
2009-06-01,Owner-occupier,VIC,24413,7404.7
2009-06-01,Owner-occupier,WA,11869,4078.1
2009-09-01,Owner-occupier,ACT,1954,688.6
2009-09-01,Owner-occupier,NSW,27416,9799.9
2009-09-01,Owner-occupier,NT,915,313.4
2009-09-01,Owner-occupier,QLD,22267,7078.4
2009-09-01,Owner-occupier,SA,8392,2173.3
2009-09-01,Owner-occupier,TAS,2463,553.2
2009-09-01,Owner-occupier,VIC,25051,7772.0
2009-09-01,Owner-occupier,WA,12215,4298.9
2009-12-01,Owner-occupier,ACT,1809,646.3
2009-12-01,Owner-occupier,NSW,22846,8656.8
2009-12-01,Owner-occupier,NT,796,290.0
2009-12-01,Owner-occupier,QLD,19373,6479.8
2009-12-01,Owner-occupier,SA,7429,1981.9
2009-12-01,Owner-occupier,TAS,2231,521.6
2009-12-01,Owner-occupier,VIC,23670,7725.7
2009-12-01,Owner-occupier,WA,12288,4378.4
2010-03-01,Owner-occupier,ACT,1601,585.8
2010-03-01,Owner-occupier,NSW,19067,7577.1
2010-03-01,Owner-occupier,NT,710,254.3
2010-03-01,Owner-occupier,QLD,16000,5531.0
2010-03-01,Owner-occupier,SA,6200,1747.6
2010-03-01,Owner-occupier,TAS,1741,418.4
2010-03-01,Owner-occupier,VIC,21143,7302.6
2010-03-01,Owner-occupier,WA,9963,3603.7
2010-06-01,Owner-occupier,ACT,1392,519.0
2010-06-01,Owner-occupier,NSW,18479,7560.6
2010-06-01,Owner-occupier,NT,632,227.5
2010-06-01,Owner-occupier,QLD,14493,5008.1
2010-06-01,Owner-occupier,SA,5810,1655.4
2010-06-01,Owner-occupier,TAS,1628,390.7
2010-06-01,Owner-occupier,VIC,20079,7028.5
2010-06-01,Owner-occupier,WA,8465,3025.2
2010-09-01,Owner-occupier,ACT,1421,544.9
2010-09-01,Owner-occupier,NSW,18624,7653.0
2010-09-01,Owner-occupier,NT,581,214.1
2010-09-01,Owner-occupier,QLD,14184,4882.5
2010-09-01,Owner-occupier,SA,5711,1643.0
2010-09-01,Owner-occupier,TAS,1592,392.2
2010-09-01,Owner-occupier,VIC,20022,7278.6
2010-09-01,Owner-occupier,WA,8196,2911.2
2010-12-01,Owner-occupier,ACT,1458,549.8
2010-12-01,Owner-occupier,NSW,18691,7634.6
2010-12-01,Owner-occupier,NT,544,203.2
2010-12-01,Owner-occupier,QLD,14456,4916.2
2010-12-01,Owner-occupier,SA,5715,1690.4
2010-12-01,Owner-occupier,TAS,1544,366.0
2010-12-01,Owner-occupier,VIC,20011,7223.8
2010-12-01,Owner-occupier,WA,8651,3041.6
2011-03-01,Owner-occupier,ACT,1353,524.7
2011-03-01,Owner-occupier,NSW,18698,7747.5
2011-03-01,Owner-occupier,NT,564,204.2
2011-03-01,Owner-occupier,QLD,12553,4215.7
2011-03-01,Owner-occupier,SA,5447,1593.8
2011-03-01,Owner-occupier,TAS,1661,386.7
2011-03-01,Owner-occupier,VIC,19219,6988.8
2011-03-01,Owner-occupier,WA,8574,2973.1
2011-06-01,Owner-occupier,ACT,1466,570.3
2011-06-01,Owner-occupier,NSW,18734,7719.7
2011-06-01,Owner-occupier,NT,567,207.4
2011-06-01,Owner-occupier,QLD,13034,4399.7
2011-06-01,Owner-occupier,SA,5271,1553.3
2011-06-01,Owner-occupier,TAS,1655,401.4
